frame,time_s,ego_x_m,ego_y_m,golf_cart_x_m,golf_cart_y_m
149,4.966666666666667,-17.972612102560586,5.325927426099651,-6.120949554683904,2.1849445974906887
150,5.0,-17.855515722120103,5.352742846763864,-6.0706154384434345,2.198972423357475
151,5.033333333333333,-17.752490257660277,5.380747198531613,-6.0442385247443315,2.2184420273782073
152,5.066666666666666,-17.62128083431153,5.396474559563019,-5.99711458412564,2.230313052989394
153,5.1,-17.518485911060633,5.421769795753591,-5.961784689731152,2.2493048870117898
154,5.133333333333334,-17.420988064555715,5.442926887394462,-5.972065332482595,2.2757345226332717
155,5.166666666666667,-17.30274330636278,5.456155877312129,-5.901911368186521,2.2768428835550854
156,5.2,-17.21013246433997,5.476226662780537,-5.882738600726489,2.2941606440505566
157,5.233333333333333,-17.095185635661277,5.484621235822148,-5.839545062175288,2.3018279096250613
158,5.266666666666667,-16.953294104210176,5.481540845094427,-5.755394003071618,2.2941837324236563
159,5.3,-16.80597765680273,5.477139195579437,-5.675754725364939,2.2885880338031606
160,5.333333333333333,-16.684637705970403,5.479446461651753,-5.606511549546516,2.285547203989525
161,5.366666666666666,-16.543071696857645,5.474702392608071,-5.496696678777212,2.272201630562498
162,5.4,-16.440762715299794,5.4805083879960765,-5.438535995468328,2.271426188800516
163,5.433333333333334,-16.330774571081914,5.482006713968792,-5.334800239858989,2.2521957550039082
164,5.466666666666667,-16.206927357787908,5.479695286152491,-5.249070366001481,2.2413152214246135
165,5.5,-16.100198270386837,5.483223234073278,-5.158801081666409,2.229959452345314
166,5.533333333333333,-16.015719023116098,5.492756382811215,-5.096351881972415,2.226306930852689
167,5.566666666666666,-15.942977890225094,5.50299743814939,-5.049949006165367,2.2258302866751976
168,5.6,-15.861170350160702,5.509635786904913,-4.98963827274047,2.2197776295092355
169,5.633333333333334,-15.752887634302569,5.507187415976847,-4.894124369404651,2.2020309322347433
170,5.666666666666667,-15.649998399447918,5.506135113032404,-4.80810017564778,2.1878224762877854
171,5.7,-15.534059559973969,5.500850251667592,-4.713058387440292,2.170704344130104
172,5.733333333333333,-15.445142405215847,5.503572197525733,-4.6458715672449,2.162191774732778
173,5.766666666666667,-15.365315122281231,5.509143640106638,-4.586885302771732,2.1575329241500874
174,5.8,-15.299099104867535,5.519402625245097,-4.527321112393382,2.152103303430738
175,5.833333333333333,-15.221354715677638,5.522508531865791,-4.490755694805262,2.151585724549213
176,5.866666666666666,-15.161168292471112,5.530855917674021,-4.468299211451972,2.1566972860445035
177,5.9,-15.088745071905484,5.535667462922086,-4.4111220809948595,2.1513175539407268
178,5.933333333333334,-14.993349265435377,5.53095814997989,-4.362805759808458,2.149006808887131
179,5.966666666666667,-14.892862667899614,5.523875497191302,-4.288841478331248,2.1362990456484674
180,6.0,-14.782704250997941,5.510775490490564,-4.204092917856618,2.118082462247752
181,6.033333333333333,-14.698430013622525,5.508308550488405,-4.139324911019138,2.1093991909855214
182,6.066666666666666,-14.589520374162937,5.496448265955184,-4.036442757877154,2.08517835181338
183,6.1,-14.471610834278426,5.483539935376268,-3.9498430887236253,2.070317697820146
184,6.133333333333334,-14.386644453285026,5.477286039092494,-3.8909121356030454,2.061266650993135
185,6.166666666666667,-14.305881332921803,5.472376489518509,-3.832811272922587,2.053842520693205
186,6.2,-14.227091927620092,5.4668088321895,-3.7835082064807146,2.048522014623745
187,6.233333333333333,-14.160505776858813,5.465747517394441,-3.731280811184199,2.041493866432209
188,6.266666666666667,-14.066599455505148,5.454494505118745,-3.6581619863274923,2.027103934955658
189,6.3,-13.97523897267006,5.4394902199126705,-3.5967533432405148,2.0148237639765854
190,6.333333333333333,-13.883870528467233,5.424100809757571,-3.5352720679520733,2.001537522710837
191,6.366666666666666,-13.793937907241673,5.410829499686739,-3.483552111698291,1.9912845242136572
192,6.4,-13.693607908960095,5.390648248748296,-3.4273010286057843,1.9777172968552463
193,6.433333333333334,-13.606417655738818,5.376216629545125,-3.377706072740269,1.9680758661924376
194,6.466666666666667,-13.535421312152124,5.367081786120538,-3.349766157965121,1.9667058072477572
195,6.5,-13.474658371197393,5.362392873914991,-3.326598610687098,1.9666357305417623
196,6.533333333333333,-13.383665440728613,5.3425464855800335,-3.2753006957855444,1.9520679909964587
197,6.566666666666666,-13.324994874211956,5.336091497966618,-3.2590870290295264,1.9528629103584128
198,6.6,-13.256601609351174,5.3223674408368575,-3.219178252586792,1.9410812122503502
199,6.633333333333334,-13.192844896448504,5.312993764861462,-3.1937487528918798,1.9366159212090475
200,6.666666666666667,-13.124329600078244,5.300721331823741,-3.1730077928271196,1.9323404666708766
201,6.7,-13.059086221139154,5.288691653556344,-3.1506636999537907,1.9269568150949108
202,6.733333333333333,-12.988549003944675,5.273683343425692,-3.127908215179847,1.9216800872333835
203,6.766666666666667,-12.941679667020454,5.267144098024426,-3.116504326639724,1.9203179909441936
204,6.8,-12.888861870054175,5.258950374424807,-3.102043283819544,1.918559552131069
