frame_id,light_x_cam_m,light_y_cam_m,light_z_cam_m,x_m,y_m,original_depth_valid
144,19.165621566772458,-2.654460032780965,3.7048248132069905,-18.64977559874006,5.152967904325133,1
145,19.04912668863932,-2.5598668177922566,3.698901669184367,-18.505343367735282,5.193689687195455,1
146,18.94865595499674,-2.4739773511886596,3.6959528128306074,-18.379072074189576,5.232765628878564,1
147,18.82157135009766,-2.3882981618245442,3.686925713221232,-18.228446333571586,5.261108292051418,1
148,18.715041732788087,-2.305011717478434,3.6820792992909746,-18.097642479815768,5.295394484878388,1
149,18.612327067057294,-2.227458167076111,3.6778628031412754,-17.972612102560586,5.325927426099651,1
150,18.515425364176433,-2.156460356712341,3.67560928662618,-17.855515722120103,5.352742846763864,1
151,18.4319149017334,-2.08994349638621,3.677964067459106,-17.752490257660277,5.380747198531613,1
152,18.3176628112793,-2.0235377550125118,3.6719535032908124,-17.62128083431153,5.396474559563019,1
153,18.233291117350262,-1.9595997969309487,3.6745188236236577,-17.518485911060633,5.421769795753591,1
154,18.15214449564616,-1.9015594800313314,3.6764830430348714,-17.420988064555715,5.442926887394462,1
155,18.048807525634764,-1.8425823688507081,3.6736227353413904,-17.30274330636278,5.456155877312129,1
156,17.971718088785806,-1.7874749898910522,3.673943106333415,-17.21013246433997,5.476226662780537,1
157,17.869494756062824,-1.7342431147893271,3.6706611474355064,-17.095185635661277,5.484621235822148,1
158,17.737985356648764,-1.6808767080307008,3.660436995824178,-16.953294104210176,5.481540845094427,1
159,17.600971349080403,-1.626575032869975,3.6483734448750815,-16.80597765680273,5.477139195579437,1
160,17.49046681722005,-1.5764007806777955,3.642583545049032,-16.684637705970403,5.479446461651753,1
161,17.358597437540688,-1.5246909379959108,3.6313565413157147,-16.543071696857645,5.474702392608071,1
162,17.266953404744463,-1.4788410902023315,3.630202786127727,-16.440762715299794,5.4805083879960765,1
163,17.16655209859212,-1.4339054187138875,3.626949501037598,-16.330774571081914,5.482006713968792,1
164,17.05191612243652,-1.3869792222976685,3.622717444101969,-16.206927357787908,5.479695286152491,1
165,16.95531120300293,-1.3414706071217855,3.619910637537638,-16.100198270386837,5.483223234073278,1
166,16.88151512145996,-1.2992596785227457,3.6217160860697426,-16.015719023116098,5.492756382811215,1
167,16.818777720133465,-1.2610475063323976,3.6263213952382403,-15.942977890225094,5.50299743814939,1
168,16.746288426717122,-1.2225527842839559,3.6267277717590334,-15.861170350160702,5.509635786904913,1
169,16.645890045166016,-1.1819165190060932,3.6234169483184813,-15.752887634302569,5.507187415976847,1
170,16.550997034708658,-1.1421343803405761,3.6202591896057132,-15.649998399447918,5.506135113032404,1
171,16.44244518280029,-1.1010705312093099,3.613127660751343,-15.534059559973969,5.500850251667592,1
172,16.36187655131022,-1.0633562763532003,3.6114521662394212,-15.445142405215847,5.503572197525733,1
173,16.290783055623372,-1.026625486214956,3.60999984741211,-15.365315122281231,5.509143640106638,1
174,16.234044329325357,-0.9909810662269593,3.608685859044393,-15.299099104867535,5.519402625245097,1
175,16.163886960347494,-0.9573391238848369,3.6107351144154864,-15.221354715677638,5.522508531865791,1
176,16.111927731831866,-0.9258379658063253,3.6141809463500976,-15.161168292471112,5.530855917674021,1
177,16.047331937154134,-0.8927372535069783,3.6138591289520265,-15.088745071905484,5.535667462922086,1
178,15.957871309916177,-0.8592808087666829,3.609260606765747,-14.993349265435377,5.53095814997989,1
179,15.862796211242674,-0.8259874780972797,3.6026078383127844,-14.892862667899614,5.523875497191302,1
180,15.756457010904947,-0.7943890372912088,3.5953693072001136,-14.782704250997941,5.510775490490564,1
181,15.678096644083658,-0.7632781744003296,3.594006776809692,-14.698430013622525,5.508308550488405,1
182,15.573395093282063,-0.7310359477996826,3.5903954664866125,-14.589520374162937,5.496448265955184,1
183,15.460014470418296,-0.6961917380491892,3.5825987180074055,-14.471610834278426,5.483539935376268,1
184,15.379518763224285,-0.6682840645313264,3.5814133644104,-14.386644453285026,5.477286039092494,1
185,15.303415044148764,-0.6408066332340241,3.581217749913533,-14.305881332921803,5.472376489518509,1
186,15.228863016764322,-0.6147151708602905,3.5837050755818685,-14.227091927620092,5.4668088321895,1
187,15.167301114400226,-0.589318831761678,3.589125506083171,-14.160505776858813,5.465747517394441,1
188,15.076616605122883,-0.5624609231948853,3.5887931029001874,-14.066599455505148,5.454494505118745,1
189,14.986784108479817,-0.5400558133920035,3.591399129231771,-13.97523897267006,5.4394902199126705,1
190,14.89679177602132,-0.5180011848608653,3.587481466929118,-13.883870528467233,5.424100809757571,1
191,14.808956718444824,-0.49457029302914934,3.5873459815979007,-13.793937907241673,5.410829499686739,1
192,14.708837827046713,-0.4733665426572164,3.584066979090373,-13.693607908960095,5.390648248748296,1
193,14.62306137084961,-0.45208717584609986,3.5850038369496664,-13.606417655738818,5.376216629545125,1
194,14.554252433776858,-0.43235759536425267,3.589559618631999,-13.535421312152124,5.367081786120538,1
195,14.496600914001467,-0.41259846687316887,3.5949309031168624,-13.474658371197393,5.362392873914991,1
196,14.405188242594402,-0.3947851002216338,3.590631182988485,-13.383665440728613,5.3425464855800335,1
197,14.34875857035319,-0.3774763067563374,3.593096955617269,-13.324994874211956,5.336091497966618,1
198,14.280522346496582,-0.36299161911010736,3.5947065512339273,-13.256601609351174,5.3223674408368575,1
199,14.218266487121582,-0.34634853601455684,3.59772424697876,-13.192844896448504,5.312993764861462,1
200,14.150493113199868,-0.33048259019851683,3.5987316131591793,-13.124329600078244,5.300721331823741,1
